filename,character,id,description
DK.S1.E1.C76 Deckard gets threatened by Silco.mp4,Deckard,DK.S1.E1.C76,Deckard gets threatened by Silco
SC.S1.E1.C77 Silco introduction.mp4,Silco,SC.S1.E1.C77,Silco introduction
XX.S1.E1.C78 Singed and Silco shimmer experiment.mp4,Singed,XX.S1.E1.C78,Singed and Silco shimmer experiment
JC.S1.E2.C01 Jayce introduction; gets knocked out by explosion.mp4,Jayce,JC.S1.E2.C01,Jayce introduction; gets knocked out by explosion
JC.S1.E2.C02 Jayce flashback; mom collapses from cold.mp4,Jayce,JC.S1.E2.C02,Jayce flashback; mom collapses from cold
JC.S1.E2.C03 Jayce gets saved and teleported by mage.mp4,Jayce,JC.S1.E2.C03,Jayce gets saved and teleported by mage
JC.S1.E2.C04 Jayce gets inspired by mage and receives crystal.mp4,Jayce,JC.S1.E2.C04,Jayce gets inspired by mage and receives crystal
JC.S1.E2.C05 Jayce gets quesitoned and arrested in blown up laboratory.mp4,Jayce,JC.S1.E2.C05,Jayce gets quesitoned and arrested in blown up laboratory
VT.S1.E2.C06 Viktor introduction in Jayce's lab; talks about assistant dean.mp4,Viktor,VT.S1.E2.C06,Viktor introduction in Jayce's lab; talks about assistant dean
HM.S1.E2.C07 Heimerdinger introduction; meets Jayce in prison.mp4,Heimerdinger,HM.S1.E2.C07,Heimerdinger introduction; meets Jayce in prison
JC.S1.E2.C08 Jayce talks to Heimerdinger about magic is bad.mp4,Jayce,JC.S1.E2.C08,Jayce talks to Heimerdinger about magic is bad
EF.S1.E2.C09 Enforcer police brutality.mp4,Enforcers,EF.S1.E2.C09,Enforcer police brutality
EF.S1.E2.C10 Enforcers fail to catch kids.mp4,Enforcers,EF.S1.E2.C10,Enforcers fail to catch kids
ML.S1.E2.C11 Mel introduction.mp4,Mel,ML.S1.E2.C11,Mel introduction
PO.S1.E2.C12 Kiramanns introduced.mp4,Piltover,PO.S1.E2.C12,Kiramanns introduced
PD.S1.E2.C13 Powder showcases aimlabs; shooting skills.mp4,Powder,PD.S1.E2.C13,Powder showcases aimlabs; shooting skills
VI.S1.E2.C14 Vi uses boxing machine.mp4,Vi,VI.S1.E2.C14,Vi uses boxing machine
VI.S1.E2.C15 Vi gang run from enforcers.mp4,Vi,VI.S1.E2.C15,Vi gang run from enforcers
ZN.S1.E2.C16 Zaunite gets throws through window by Enforcers.mp4,Zaun,ZN.S1.E2.C16,Zaunite gets throws through window by Enforcers
SV.S1.E2.C17 Sevika pressures Vander.mp4,Sevika,SV.S1.E2.C17,Sevika pressures Vander
VD.S1.E2.C18 Vander cool shot smoking and lectured Zaun about peace.mp4,Vander,VD.S1.E2.C18,Vander cool shot smoking and lectured Zaun about peace
VI.S1.E2.C19 Vi gang want to fight and find out about Vander's deal.mp4,Vi,VI.S1.E2.C19,Vi gang want to fight and find out about Vander's deal
ZN.S1.E2.C20 Zaun wants to fight.mp4,Zaun,ZN.S1.E2.C20,Zaun wants to fight
HM.S1.E2.C21 Heimerdinger ptsd moment; magic bad.mp4,Heimerdinger,HM.S1.E2.C21,Heimerdinger ptsd moment; magic bad
JC.S1.E2.C22 Jayce gets mad at his mom.mp4,Jayce,JC.S1.E2.C22,Jayce gets mad at his mom
JC.S1.E2.C23 Jayce trial begins.mp4,Jayce,JC.S1.E2.C23,Jayce trial begins
JC.S1.E2.C24 Jayce defends magic at his trial.mp4,Jayce,JC.S1.E2.C24,Jayce defends magic at his trial
JC.S1.E2.C25 Jayce gets expelled from the academy.mp4,Jayce,JC.S1.E2.C25,Jayce gets expelled from the academy
PO.S1.E2.C26 Piltover's Council introduced.mp4,Piltover,PO.S1.E2.C26,Piltover's Council introduced
HM.S1.E2.C27 Heimerdinger disappointed with Viktor.mp4,Heimerdinger,HM.S1.E2.C27,Heimerdinger disappointed with Viktor
VT.S1.E2.C28 Viktor talks to Heimerdinger; steals Jayce notes.mp4,Viktor,VT.S1.E2.C28,Viktor talks to Heimerdinger; steals Jayce notes
DK.S1.E2.C29 Deckard gets peer pressured into taking shimmer.mp4,Deckard,DK.S1.E2.C29,Deckard gets peer pressured into taking shimmer
DK.S1.E2.C30 Deckard takes shimmer and turns into monster.mp4,Deckard,DK.S1.E2.C30,Deckard takes shimmer and turns into monster
SC.S1.E2.C31 Silco lectures Deckard about strength power and monsters.mp4,Silco,SC.S1.E2.C31,Silco lectures Deckard about strength power and monsters
CL.S1.E2.C32 Caitlyn umbrella in the rain.mp4,Caitlyn,CL.S1.E2.C32,Caitlyn umbrella in the rain
JC.S1.E2.C33 Jayce sad in the rain.mp4,Jayce,JC.S1.E2.C33,Jayce sad in the rain
EF.S1.E2.C34 Enforcers told to destroy Zaun.mp4,Enforcers,EF.S1.E2.C34,Enforcers told to destroy Zaun
PO.S1.E2.C35 Council crack down on Zaun.mp4,Piltover,PO.S1.E2.C35,Council crack down on Zaun
MC.S1.E2.C36 Marcus confronts Vander.mp4,Marcus,MC.S1.E2.C36,Marcus confronts Vander
VD.S1.E2.C37 Vander deals with Enforcers.mp4,Vander,VD.S1.E2.C37,Vander deals with Enforcers
VI.S1.E2.C38 Vi gang hide from Enforcer.mp4,Vi,VI.S1.E2.C38,Vi gang hide from Enforcer
VI.S1.E2.C39 Vi wants Vander to fight.mp4,Vi,VI.S1.E2.C39,Vi wants Vander to fight
VI.S1.E2.C40 Vi gets talked down by Vander.mp4,Vi,VI.S1.E2.C40,Vi gets talked down by Vander
VI.S1.E2.C41 Vi learns peace from Vander.mp4,Vi,VI.S1.E2.C41,Vi learns peace from Vander
ZN.S1.E2.C42 Zaun bridge at night.mp4,Zaun,ZN.S1.E2.C42,Zaun bridge at night
JC.S1.E2.C43 Jayce depressed and meets Viktor.mp4,Jayce,JC.S1.E2.C43,Jayce depressed and meets Viktor
VT.S1.E2.C44 Viktor inspires Jayce.mp4,Viktor,VT.S1.E2.C44,Viktor inspires Jayce
MC.S1.E2.C45 Marcus told off by Greyson.mp4,Marcus,MC.S1.E2.C45,Marcus told off by Greyson
PD.S1.E2.C46 Powder gets encouragement from Vi.mp4,Powder,PD.S1.E2.C46,Powder gets encouragement from Vi
VI.S1.E2.C47 Vi says what makes you different makes you strong.mp4,Vi,VI.S1.E2.C47,Vi says what makes you different makes you strong
PD.S1.E2.C48 Powder sad with Vander.mp4,Powder,PD.S1.E2.C48,Powder sad with Vander
VD.S1.E2.C49 Vander pours Powder a drink.mp4,Vander,VD.S1.E2.C49,Vander pours Powder a drink
VI.S1.E2.C50 Vi turns herself in to Enforcers.mp4,Vi,VI.S1.E2.C50,Vi turns herself in to Enforcers
SC.S1.E3.C01 Silco drowned by Vander.mp4,Silco,SC.S1.E3.C01,Silco drowned by Vander
SC.S1.E3.C02 Silco drowns peacefully.mp4,Silco,SC.S1.E3.C02,Silco drowns peacefully
SC.S1.E3.C03 Silco attacks Vander and Enforcers.mp4,Silco,SC.S1.E3.C03,Silco attacks Vander and Enforcers
SC.S1.E3.C04 Silco captures Vander.mp4,Silco,SC.S1.E3.C04,Silco captures Vander
VD.S1.E3.C05 Vander protects Vi from enforcers.mp4,Vander,VD.S1.E3.C05,Vander protects Vi from enforcers
VD.S1.E3.C06 Vander gives himself up.mp4,Vander,VD.S1.E3.C06,Vander gives himself up
VI.S1.E3.C07 Vi cries and bangs door.mp4,Vi,VI.S1.E3.C07,Vi cries and bangs door
VI.S1.E3.C08 Vi cries and hugs Ekko.mp4,Vi,VI.S1.E3.C08,Vi cries and hugs Ekko
JC.S1.E3.C09 Jayce and Victor do science.mp4,Jayce,JC.S1.E3.C09,Jayce and Victor do science
VT.S1.E3.C10 Viktor and Jayce do science.mp4,Viktor,VT.S1.E3.C10,Viktor and Jayce do science
ZN.S1.E3.C11 Silco's lair.mp4,Zaun,ZN.S1.E3.C11,Silco's lair
JC.S1.E3.C12 Jayce tries to sneak.mp4,Jayce,JC.S1.E3.C12,Jayce tries to sneak
ML.S1.E3.C13 Mel catches Jayce and Viktor.mp4,Mel,ML.S1.E3.C13,Mel catches Jayce and Viktor
SV.S1.E3.C14 Sevika smokes a cigar.mp4,Sevika,SV.S1.E3.C14,Sevika smokes a cigar
SC.S1.E3.C15 Silco talks to Vander.mp4,Silco,SC.S1.E3.C15,Silco talks to Vander
SC.S1.E3.C16 Silco talks to Vander about shimmer.mp4,Silco,SC.S1.E3.C16,Silco talks to Vander about shimmer
VD.S1.E3.C17 Vandertalks to Silco.mp4,Vander,VD.S1.E3.C17,Vandertalks to Silco
VD.S1.E3.C18 Vander learns about shimmer.mp4,Vander,VD.S1.E3.C18,Vander learns about shimmer
JC.S1.E3.C19 Jayce and Victor stabilize hex crystal.mp4,Jayce,JC.S1.E3.C19,Jayce and Victor stabilize hex crystal
JC.S1.E3.C20 Jayce and Victor hex experiement goes wrong.mp4,Jayce,JC.S1.E3.C20,Jayce and Victor hex experiement goes wrong
VI.S1.E3.C21 Vi teels gang about Vander.mp4,Vi,VI.S1.E3.C21,Vi teels gang about Vander
VI.S1.E3.C22 Vi tells Powder not to come.mp4,Vi,VI.S1.E3.C22,Vi tells Powder not to come
VT.S1.E3.C23 Viktor and Jayce stabilize hex crystal.mp4,Viktor,VT.S1.E3.C23,Viktor and Jayce stabilize hex crystal
VT.S1.E3.C24 Viktor and Jayce hex experiement goes wrong.mp4,Viktor,VT.S1.E3.C24,Viktor and Jayce hex experiement goes wrong
PD.S1.E3.C25 Powder mental breakdown.mp4,Powder,PD.S1.E3.C25,Powder mental breakdown
PD.S1.E3.C26 Powder understands hex crystal.mp4,Powder,PD.S1.E3.C26,Powder understands hex crystal
VI.S1.E3.C27 Vi gang get to Vander.mp4,Vi,VI.S1.E3.C27,Vi gang get to Vander
VI.S1.E3.C28 Vi fights Silco men.mp4,Vi,VI.S1.E3.C28,Vi fights Silco men
VI.S1.E3.C29 Vi runs from Deckard.mp4,Vi,VI.S1.E3.C29,Vi runs from Deckard
DK.S1.E3.C30 Deckard takes shimmer again; fights Vi; and blows up.mp4,Deckard,DK.S1.E3.C30,Deckard takes shimmer again; fights Vi; and blows up
HM.S1.E3.C31 Heimerdinger tries to stop hextech.mp4,Heimerdinger,HM.S1.E3.C31,Heimerdinger tries to stop hextech
JC.S1.E3.C32 Jayce completes Hextech.mp4,Jayce,JC.S1.E3.C32,Jayce completes Hextech
JC.S1.E3.C33 Jayce invents Hextech.mp4,Jayce,JC.S1.E3.C33,Jayce invents Hextech
MY.S1.E3.C34 Mylo and Claggor die.mp4,Mylo,MY.S1.E3.C34,Mylo and Claggor die
PD.S1.E3.C35 Powder uses monkey bomb and gets inspired.mp4,Powder,PD.S1.E3.C35,Powder uses monkey bomb and gets inspired
PD.S1.E3.C36 Powder uses monkey bomb.mp4,Powder,PD.S1.E3.C36,Powder uses monkey bomb
SV.S1.E3.C37 Sevika loses her arm.mp4,Sevika,SV.S1.E3.C37,Sevika loses her arm
XX.S1.E3.C38 Singed gets combusted.mp4,Singed,XX.S1.E3.C38,Singed gets combusted
VI.S1.E3.C39 Vi gang and Vander almost escape.mp4,Vi,VI.S1.E3.C39,Vi gang and Vander almost escape
MC.S1.E3.C40 Marcus looks at explosion.mp4,Marcus,MC.S1.E3.C41,Marcus looks at explosion
VT.S1.E3.C41 Viktor flies because of Hextech.mp4,Viktor,VT.S1.E3.C41,Viktor flies because of Hextech
DK.S1.E3.C42 Deckard vs Vander.mp4,Deckard,DK.S1.E3.C42,Deckard vs Vander
DK.S1.E3.C43 Deckard killed by Vander.mp4,Deckard,DK.S1.E3.C43,Deckard killed by Vander
VD.S1.E3.C44 Vander fights.mp4,Vander,VD.S1.E3.C44,Vander fights
VD.S1.E3.C45 Vander gets killed by Silco.mp4,Vander,VD.S1.E3.C45,Vander gets killed by Silco
VD.S1.E3.C46 Vander takes shimmer.mp4,Vander,VD.S1.E3.C46,Vander takes shimmer
VD.S1.E3.C47 Vander shimmer monster saves Vi.mp4,Vander,VD.S1.E3.C47,Vander shimmer monster saves Vi
VI.S1.E3.C48 Vi traumatized.mp4,Vi,VI.S1.E3.C48,Vi traumatized
SC.S1.E3.C49 Silco kills Vander.mp4,Silco,SC.S1.E3.C49,Silco kills Vander
VD.S1.E3.C50 Vander dies.mp4,Vander,VD.S1.E3.C50,Vander dies
VI.S1.E3.C51 Vi makes Jinx.mp4,Vi,VI.S1.E3.C51,Vi makes Jinx
VI.S1.E3.C52 Vi hears Vander last words.mp4,Vi,VI.S1.E3.C52,Vi hears Vander last words
VI.S1.E3.C53 Vi yells at Powder.mp4,Vi,VI.S1.E3.C53,Vi yells at Powder
VI.S1.E3.C54 Vi gets kidnapped.mp4,Vi,VI.S1.E3.C54,Vi gets kidnapped
PD.S1.E3.C55 Powder becomes Jinx; gets adopted.mp4,Powder,PD.S1.E3.C55,Powder becomes Jinx; gets adopted
SC.S1.E3.C56 Silco finds Powder.mp4,Silco,SC.S1.E3.C56,Silco finds Powder
HM.S1.E4.C01 Heimerdinger talks to Jayce about history.mp4,Heimerdinger,HM.S1.E4.C01,Heimerdinger talks to Jayce about history
JC.S1.E4.C02 Jayce invited by Heimerdinger for speech.mp4,Jayce,JC.S1.E4.C02,Jayce invited by Heimerdinger for speech
PO.S1.E4.C03 Piltover post-timsekip.mp4,Piltover,PO.S1.E4.C03,Piltover post-timsekip
PO.S1.E4.C04 Hexgate.mp4,Piltover,PO.S1.E4.C04,Hexgate
CL.S1.E4.C05 Caitlyn timeskip introduction talk with Jayce.mp4,Caitlyn,CL.S1.E4.C05,Caitlyn timeskip introduction talk with Jayce
PO.S1.E4.C06 Progress day.mp4,Piltover,PO.S1.E4.C06,Progress day
FL.S1.E4.C07 Firelights raid shimmer smuggling airship.mp4,Firelights,FL.S1.E4.C07,Firelights raid shimmer smuggling airship
FL.S1.E4.C08 Firelights killed by Jinx.mp4,Firelights,FL.S1.E4.C08,Firelights killed by Jinx
FL.S1.E4.C09 Firelights fight Jinx.mp4,Firelights,FL.S1.E4.C09,Firelights fight Jinx
JX.S1.E4.C10 Jinx introduction.mp4,Jinx,JX.S1.E4.C10,Jinx introduction
JX.S1.E4.C11 Jinx vs Firelights.mp4,Jinx,JX.S1.E4.C11,Jinx vs Firelights
JX.S1.E4.C12 Jinx mental breakdown; shoots everywhere.mp4,Jinx,JX.S1.E4.C12,Jinx mental breakdown; shoots everywhere
PO.S1.E4.C13 Shimmer gets smuggled on airship.mp4,Piltover,PO.S1.E4.C13,Shimmer gets smuggled on airship
SV.S1.E4.C14 Sevika mad at Jinx.mp4,Sevika,SV.S1.E4.C14,Sevika mad at Jinx
HM.S1.E4.C15 Heimerdinger wants Hextech safeguards.mp4,Heimerdinger,HM.S1.E4.C15,Heimerdinger wants Hextech safeguards
JC.S1.E4.C16 Jayce looks at Hexgem.mp4,Jayce,JC.S1.E4.C16,Jayce looks at Hexgem
JC.S1.E4.C17 Jayce shows Hexgem.mp4,Jayce,JC.S1.E4.C17,Jayce shows Hexgem
JC.S1.E4.C18 Jayce introduces new hextech.mp4,Jayce,JC.S1.E4.C18,Jayce introduces new hextech
JC.S1.E4.C19 Jayce uses Hex gauntlets to break rock.mp4,Jayce,JC.S1.E4.C19,Jayce uses Hex gauntlets to break rock
VT.S1.E4.C20 Viktor uses Hex claw.mp4,Viktor,VT.S1.E4.C20,Viktor uses Hex claw
VT.S1.E4.C21 Viktor pleads Heimerdinger for progress.mp4,Viktor,VT.S1.E4.C21,Viktor pleads Heimerdinger for progress
CL.S1.E4.C22 Caitlyn investigates.mp4,Caitlyn,CL.S1.E4.C22,Caitlyn investigates
CL.S1.E4.C23 Caitlyn interrogates.mp4,Caitlyn,CL.S1.E4.C23,Caitlyn interrogates
JX.S1.E4.C25 Jinx and Silco talk.mp4,Jinx,JX.S1.E4.C25,Jinx and Silco talk
MC.S1.E4.C24 Marcus lectures Caitlyn.mp4,Marcus,MC.S1.E4.C25,Marcus lectures Caitlyn
SV.S1.E4.C26 Sevika lectured by Silco.mp4,Sevika,SV.S1.E4.C26,Sevika lectured by Silco
SC.S1.E4.C27 Silco chills in his room.mp4,Silco,SC.S1.E4.C27,Silco chills in his room
SC.S1.E4.C28 Silco lectures Jinx.mp4,Silco,SC.S1.E4.C28,Silco lectures Jinx
SC.S1.E4.C29 Silco takes shimmer medicine.mp4,Silco,SC.S1.E4.C29,Silco takes shimmer medicine
ZN.S1.E4.C30 Zaun introduction post timeskip.mp4,Zaun,ZN.S1.E4.C30,Zaun introduction post timeskip
ML.S1.E4.C31 Mel party.mp4,Mel,ML.S1.E4.C31,Mel party
ML.S1.E4.C32 Mel into Jayce.mp4,Mel,ML.S1.E4.C32,Mel into Jayce
PO.S1.E4.C33 Sunset; Jayce advertisement.mp4,Piltover,PO.S1.E4.C33,Sunset; Jayce advertisement
JX.S1.E4.C34 Jinx throws bombs in her tower hideout.mp4,Jinx,JX.S1.E4.C34,Jinx throws bombs in her tower hideout
JC.S1.E4.C35 Jayce famous; begins speech.mp4,Jayce,JC.S1.E4.C35,Jayce famous; begins speech
JC.S1.E4.C36 Jayce celebrates Piltover.mp4,Jayce,JC.S1.E4.C36,Jayce celebrates Piltover
PO.S1.E4.C37 Hexgate at night.mp4,Piltover,PO.S1.E4.C37,Hexgate at night
VT.S1.E4.C38 Viktor in shadows.mp4,Viktor,VT.S1.E4.C38,Viktor in shadows
CL.S1.E4.C39 Caitlyn talks with Enforcers.mp4,Caitlyn,CL.S1.E4.C39,Caitlyn talks with Enforcers
CL.S1.E4.C40 Caitlyn gets blown up.mp4,Caitlyn,CL.S1.E4.C40,Caitlyn gets blown up
EF.S1.E4.C41 Enforcers die in fire.mp4,Enforcers,EF.S1.E4.C41,Enforcers die in fire
JC.S1.E4.C42 Jayce becomes councilor.mp4,Jayce,JC.S1.E4.C42,Jayce becomes councilor
ML.S1.E4.C43 Mel manipulates council.mp4,Mel,ML.S1.E4.C43,Mel manipulates council
